account_id,id_1,id_2,id_3,id_5,id_7,id_8,id_11,price,amount,month,date,time
11,0,0,0,0,0,0,1,30,3,9,14,17:46
1,1,0,0,0,0,0,0,21.5,10,9,15,22:08
11,0,0,0,0,0,0,1,30,4,9,16,0:13
1,1,0,0,0,0,0,0,21.5,10,9,16,23:35
1,1,0,0,0,0,0,0,22,10,9,17,20:46
1,1,0,0,0,0,0,0,21.5,10,9,19,14:15
1,1,0,0,0,0,0,0,21.5,10,9,20,23:44
1,1,0,0,0,0,0,0,21,10,9,21,14:38
1,1,0,0,0,0,0,0,21.5,10,9,22,23:12
1,1,0,0,0,0,0,0,21,10,9,23,21:58
1,1,0,0,0,0,0,0,21.5,10,9,24,21:08
1,1,0,0,0,0,0,0,20,10,9,25,16:34
1,1,0,0,0,0,0,0,21.5,10,9,26,21:14
,,,,,,,,23,6,9,27,13:52
1,1,0,0,0,0,0,0,21.5,10,9,27,21:07
,,,,,,,,21.5,4,9,28,3:53
3,0,0,1,0,0,0,0,20,10,9,28,12:56
3,0,0,1,0,0,0,0,18,5,9,29,11:28
7,0,0,0,0,1,0,0,21.5,5,9,29,11:28
1,1,0,0,0,0,0,0,21.5,10,9,29,21:42
3,0,0,1,0,0,0,0,20,6,9,30,17:50
7,0,0,0,0,1,0,0,21.5,7,9,30,18:50
1,1,0,0,0,0,0,0,21.5,10,9,30,22:05
,,,,,,,,21.5,50,10,1,1:22
7,0,0,0,0,1,0,0,20,5,10,2,1:32
5,0,0,0,1,0,0,0,21.5,1,10,3,13:08
2,0,1,0,0,0,0,0,23,3,10,4,16:16
11,0,0,0,0,0,0,1,23,3,10,4,19:36
5,0,0,0,1,0,0,0,21.5,1,10,4,21:06
3,0,0,1,0,0,0,0,22,1,10,5,11:02
1,1,0,0,0,0,0,0,22,10,10,5,14:31
11,0,0,0,0,0,0,1,21.5,5,10,5,16:12
5,0,0,0,1,0,0,0,21.5,1,10,5,21:43
2,0,1,0,0,0,0,0,21.5,3,10,6,7:53
5,0,0,0,1,0,0,0,21.5,1,10,6,8:13
7,0,0,0,0,1,0,0,23,2,10,6,11:20
2,0,1,0,0,0,0,0,21.5,3,10,6,16:03
3,0,0,1,0,0,0,0,22,3,10,6,19:45
11,0,0,0,0,0,0,1,21.5,5,10,6,20:00
5,0,0,0,1,0,0,0,21.5,1,10,7,12:19
3,0,0,1,0,0,0,0,22,3,10,7,13:33
2,0,1,0,0,0,0,0,22,1,10,7,22:00
5,0,0,0,1,0,0,0,21.5,1,10,8,8:43
3,0,0,1,0,0,0,0,22,3,10,8,11:00
5,0,0,0,1,0,0,0,21.5,1,10,8,23:07
11,0,0,0,0,0,0,1,21.5,3,10,9,7:22
11,0,0,0,0,0,0,1,21.5,3,10,9,18:38
2,0,1,0,0,0,0,0,22,1,10,10,2:04
3,0,0,1,0,0,0,0,21.5,3,10,10,13:20
5,0,0,0,1,0,0,0,21.5,1,10,10,18:58
2,0,1,0,0,0,0,0,21.7,1,10,11,11:35
3,0,0,1,0,0,0,0,22,1,10,11,12:20
7,0,0,0,0,1,0,0,21.5,5,10,11,13:49
11,0,0,0,0,0,0,1,21.5,2,10,11,19:17
5,0,0,0,1,0,0,0,24,1,10,12,8:44
8,0,0,0,0,0,1,0,21.5,150,10,12,0:42
3,0,0,1,0,0,0,0,21.5,1,10,12,12:55
11,0,0,0,0,0,0,1,21.5,2,10,12,21:20
2,0,1,0,0,0,0,0,21,1,10,12,23:16
5,0,0,0,1,0,0,0,23,1,10,13,8:30
7,0,0,0,0,1,0,0,21.5,5,10,13,11:24
,,,,,,,,21.5,3,10,13,13:26
1,1,0,0,0,0,0,0,22,1,10,14,8:09
11,0,0,0,0,0,0,1,21.5,3,10,14,8:54
2,0,1,0,0,0,0,0,22,1,10,14,12:04
3,0,0,1,0,0,0,0,21.5,1,10,14,13:02
7,0,0,0,0,1,0,0,21.5,3,10,14,17:13
11,0,0,0,0,0,0,1,21.5,5,10,14,22:17
